fid,sub score,from_user_id,comments_count,created_date,likes_count,shares_count,to_user,brand,AF score
153740148098439_1299538676851908,,11,7,2018-11-06 07:00:00.000,7,0,153740148098439,similac,11.0
153740148098439_1304136073058835,,17,7,2018-11-13 02:00:00.000,12,1,153740148098439,similac,17.0
153740148098439_1304835149655594,0.0,22,5,2018-11-14 04:34:11.212,15,1,153740148098439,enfa,22.0
153740148098439_1309196259219483,,11,4,2018-11-20 08:30:00.000,6,0,153740148098439,similac,11.0
153740148098439_1311094005696375,,36,12,2018-11-23 04:00:00.000,26,0,153740148098439,similac,36.0
153740148098439_1311099155695860,,23,12,2018-11-23 07:00:00.000,17,1,153740148098439,similac,23.0
153740148098439_1311841482288294,,22,6,2018-11-25 07:00:00.000,17,0,153740148098439,similac,22.0
153740148098439_1313294348809674,0.0,19,8,2018-11-26 04:00:00.000,10,1,153740148098439,enfa,19.0
153740148098439_1315369595268816,,13,3,2018-11-29 07:00:00.000,10,0,153740148098439,similac,13.0
153740148098439_1316005708538538,,20,5,2018-11-30 04:00:00.000,15,0,153740148098439,enfa,20.0
153740148098439_1322410891231353,0.0,13,3,2018-12-09 02:24:00.000,10,1,153740148098439,enfa,13.0
153740148098439_1323123287826780,,13,3,2018-12-10 06:00:00.000,6,2,153740148098439,enfa,13.0
153740148098439_1323228687816240,,12,0,2018-12-13 12:55:00.000,12,0,153740148098439,nan,12.0
153740148098439_1323910821081360,,18,5,2018-12-11 02:09:00.000,10,0,153740148098439,enfa,18.0
153740148098439_1326206684185107,,14,5,2018-12-14 04:00:00.000,9,0,153740148098439,similac,14.0
153740148098439_1326869844118791,,10,1,2018-12-16 04:00:00.000,9,0,153740148098439,similac,10.0
153740148098439_1326979460774496,,40,2,2018-12-15 08:30:00.000,38,0,153740148098439,similac,40.0
153740148098439_1329687107170398,0.0,84,50,2018-12-19 07:35:00.000,68,11,153740148098439,similac,84.0
153740148098439_1329698677169241,,9,1,2018-12-19 08:30:00.000,8,0,153740148098439,nan,9.0
